name,total,solo_count,lonely(%),wholesome_count,wholesome(%),lewd_count,lewd(%),ship_count,ship(%),kink_count,kink(%)
hakurei_reimu,79414,27644,34.81,24374,30.69,2784,3.51,5378,6.77,606,0.76
kirisame_marisa,71328,20746,29.09,22741,31.88,1809,2.54,5762,8.08,413,0.58
flandre_scarlet,52626,27379,52.03,15285,29.04,2495,4.74,1143,2.17,338,0.64
komeiji_koishi,35212,18069,51.31,14154,40.2,1351,3.84,892,2.53,237,0.67
konpaku_youmu,35323,17373,49.18,9809,27.77,1470,4.16,886,2.51,295,0.84
izayoi_sakuya,46333,15350,33.13,10063,21.72,2233,4.82,3005,6.49,525,1.13
remilia_scarlet,52802,19615,37.15,13676,25.9,1998,3.78,1874,3.55,377,0.71
komeiji_satori,25990,9727,37.43,7631,29.36,1522,5.86,882,3.39,280,1.08
fujiwara_no_mokou,26811,10673,39.81,7682,28.65,448,1.67,1693,6.31,119,0.44
cirno,34949,15468,44.26,11399,32.62,1002,2.87,749,2.14,133,0.38
saigyouji_yuyuko,24291,10202,42.0,6358,26.17,1028,4.23,1081,4.45,99,0.41
alice_margatroid,34958,11310,32.35,8168,23.37,1520,4.35,3449,9.87,421,1.2
shameimaru_aya,29112,12316,42.31,7218,24.79,1395,4.79,1190,4.09,274,0.94
kochiya_sanae,35587,13750,38.64,6761,19.0,2475,6.95,1089,3.06,334,0.94
reisen_udongein_inaba,27249,11327,41.57,5866,21.53,1926,7.07,1081,3.97,294,1.08
yakumo_yukari,32842,11033,33.59,7431,22.63,1501,4.57,2203,6.71,204,0.62
patchouli_knowledge,34665,14267,41.16,8055,23.24,1745,5.03,1243,3.59,382,1.1
hong_meiling,25193,6331,25.13,4989,19.8,849,3.37,1849,7.34,163,0.65
hata_no_kokoro,6755,3033,44.9,2065,30.57,254,3.76,184,2.72,30,0.44
hinanawi_tenshi,16038,8740,54.5,3883,24.21,864,5.39,350,2.18,338,2.11
rumia,19230,10377,53.96,5654,29.4,768,3.99,241,1.25,82,0.43
moriya_suwako,19012,8194,43.1,4535,23.85,998,5.25,500,2.63,156,0.82
tatara_kogasa,16685,5763,34.54,4517,27.07,786,4.71,342,2.05,96,0.58
kazami_yuuka,18006,8124,45.12,4633,25.73,882,4.9,712,3.95,161,0.89
shiki_eiki,9079,3624,39.92,2707,29.82,506,5.57,466,5.13,68,0.75
junko_(touhou),5667,2553,45.05,1825,32.2,218,3.85,449,7.92,22,0.39
ibuki_suika,14022,5556,39.62,3684,26.27,562,4.01,292,2.08,57,0.41
inubashiri_momiji,22798,12241,53.69,4286,18.8,1718,7.54,623,2.73,184,0.81
yakumo_ran,20305,6569,32.35,5074,24.99,790,3.89,810,3.99,81,0.4
houraisan_kaguya,15112,3865,25.58,4215,27.89,526,3.48,963,6.37,113,0.75
reiuji_utsuho,18137,8116,44.75,4132,22.78,852,4.7,522,2.88,101,0.56
yorigami_shion,3352,1086,32.4,1431,42.69,110,3.28,102,3.04,13,0.39
toyosatomimi_no_miko,10170,3012,29.62,2782,27.35,273,2.68,600,5.9,73,0.72
usami_renko,9290,1520,16.36,4045,43.54,163,1.75,604,6.5,37,0.4
kijin_seija,5826,1905,32.7,1581,27.14,178,3.06,200,3.43,54,0.93
mizuhashi_parsee,11484,5686,49.51,2582,22.48,535,4.66,678,5.9,199,1.73
yagokoro_eirin,11721,2779,23.71,3031,25.86,580,4.95,584,4.98,147,1.25
hecatia_lapislazuli,4896,2007,40.99,1166,23.82,140,2.86,296,6.05,17,0.35
hieda_no_akyuu,5540,1609,29.04,1882,33.97,154,2.78,131,2.36,32,0.58
mononobe_no_futo,9246,3348,36.21,3010,32.55,284,3.07,288,3.11,54,0.58
kawashiro_nitori,16591,7447,44.89,3935,23.72,837,5.04,367,2.21,159,0.96
toutetsu_yuuma,1898,747,39.36,1300,68.49,87,4.58,103,5.43,13,0.68
kagiyama_hina,10361,6325,61.05,3666,35.38,386,3.73,258,2.49,127,1.23
kishin_sagume,4181,1941,46.42,1407,33.65,135,3.23,240,5.74,35,0.84
matara_okina,2632,800,30.4,1383,52.55,116,4.41,214,8.13,5,0.19
ibaraki_kasen,6608,3205,48.5,1593,24.11,506,7.66,207,3.13,80,1.21
kaenbyou_rin,19464,7859,40.38,5854,30.08,924,4.75,632,3.25,115,0.59
maribel_hearn,8962,1100,12.27,3917,43.71,145,1.62,593,6.62,36,0.4
hijiri_byakuren,13139,4687,35.67,2422,18.43,708,5.39,472,3.59,113,0.86
kamishirasawa_keine,16283,4048,24.86,4184,25.7,514,3.16,1234,7.58,79,0.49
chen,18230,5921,32.48,5890,32.31,541,2.97,543,2.98,74,0.41
mystia_lorelei,14893,7121,47.81,5469,36.72,597,4.01,433,2.91,88,0.59
houjuu_nue,12566,5914,47.06,2298,18.29,686,5.46,390,3.1,185,1.47
nazrin,13523,5347,39.54,3720,27.51,649,4.8,407,3.01,105,0.78
iizunamaru_megumu,1864,587,31.49,1252,67.17,32,1.72,125,6.71,1,0.05
mima_(touhou),1985,629,31.69,898,45.24,30,1.51,53,2.67,6,0.3
koakuma,14702,5264,35.8,3404,23.15,788,5.36,591,4.02,102,0.69
doremy_sweet,3539,1470,41.54,1251,35.35,141,3.98,231,6.53,17,0.48
tenkyuu_chimata,1419,776,54.69,863,60.82,28,1.97,26,1.83,0,0.0
clownpiece,6057,3264,53.89,1821,30.06,332,5.48,88,1.45,72,1.19
kudamaki_tsukasa,2400,1167,48.62,1395,58.13,140,5.83,92,3.83,6,0.25
kaku_seiga,7216,2533,35.1,1574,21.81,282,3.91,335,4.64,41,0.57
daiyousei,9325,2334,25.03,2958,31.72,488,5.23,406,4.35,68,0.73
sekibanki,5719,2277,39.81,1924,33.64,217,3.79,122,2.13,35,0.61
murasa_minamitsu,7088,2140,30.19,1620,22.86,177,2.5,339,4.78,53,0.75
haniyasushin_keiki,1679,577,34.37,896,53.37,46,2.74,101,6.02,8,0.48
shinki_(touhou),2124,736,34.65,871,41.01,89,4.19,58,2.73,4,0.19
yorigami_jo'on,2834,866,30.56,1216,42.91,87,3.07,66,2.33,9,0.32
inaba_tewi,14107,4021,28.5,3681,26.09,722,5.12,414,2.93,129,0.91
kicchou_yachie,2494,856,34.32,1294,51.88,94,3.77,148,5.93,19,0.76
wriggle_nightbug,9170,3107,33.88,2621,28.58,550,6.0,433,4.72,85,0.93
motoori_kosuzu,3380,1106,32.72,1283,37.96,162,4.79,114,3.37,16,0.47
futatsuiwa_mamizou,5060,1449,28.64,1275,25.2,148,2.92,170,3.36,20,0.4
yasaka_kanako,11757,2958,25.16,2499,21.26,437,3.72,468,3.98,69,0.59
nagae_iku,6664,2762,41.45,1576,23.65,393,5.9,183,2.75,83,1.25
onozuka_komachi,8938,3407,38.12,2115,23.66,500,5.59,444,4.97,65,0.73
morichika_rinnosuke,9608,476,4.95,4136,43.05,147,1.53,62,0.65,26,0.27
himekaidou_hatate,7435,2853,38.37,1730,23.27,438,5.89,227,3.05,67,0.9
lily_white,4002,1619,40.45,1813,45.3,136,3.4,62,1.55,17,0.42
hoshiguma_yuugi,9557,2491,26.06,1492,15.61,429,4.49,622,6.51,43,0.45
yomotsu_hisami,623,310,49.76,397,63.72,9,1.44,72,11.56,3,0.48
usami_sumireko,3360,990,29.46,1317,39.2,114,3.39,80,2.38,48,1.43
niwatari_kutaka,1719,878,51.08,1133,65.91,33,1.92,31,1.8,2,0.12
imaizumi_kagerou,8629,4053,46.97,2402,27.84,804,9.32,352,4.08,57,0.66
komano_aunn,1903,555,29.16,1070,56.23,45,2.36,35,1.84,1,0.05
soga_no_tojiko,6355,1603,25.22,2192,34.49,124,1.95,383,6.03,20,0.31
nippaku_zanmu,435,156,35.86,306,70.34,3,0.69,71,16.32,3,0.69
okunoda_miyoi,606,290,47.85,309,50.99,75,12.38,14,2.31,1,0.17
sukuna_shinmyoumaru,5077,1371,27.0,1881,37.05,79,1.56,159,3.13,17,0.33
lunasa_prismriver,3425,1024,29.9,1108,32.35,206,6.01,122,3.56,23,0.67
letty_whiterock,4869,1911,39.25,1638,33.64,129,2.65,88,1.81,22,0.45
miyako_yoshika,6228,1967,31.58,1555,24.97,238,3.82,172,2.76,23,0.37
medicine_melancholy,3555,1091,30.69,1322,37.19,74,2.08,48,1.35,7,0.2
okazaki_yumemi,1080,397,36.76,521,48.24,7,0.65,11,1.02,1,0.09
horikawa_raiko,1893,934,49.34,586,30.96,85,4.49,56,2.96,11,0.58
watatsuki_no_yorihime,1716,468,27.27,428,24.94,103,6.0,68,3.96,19,1.11
tenkajin_chiyari,605,206,34.05,445,73.55,49,8.1,28,4.63,0,0.0
himemushi_momoyo,1014,381,37.57,582,57.4,19,1.87,52,5.13,2,0.2
aki_minoriko,5623,1356,24.12,1970,35.03,207,3.68,149,2.65,21,0.37
kurokoma_saki,1923,471,24.49,777,40.41,62,3.22,196,10.19,6,0.31
aki_shizuha,4977,901,18.1,1762,35.4,121,2.43,136,2.73,15,0.3
gengetsu_(touhou),589,194,32.94,264,44.82,27,4.58,15,2.55,22,3.74
luna_child,3054,634,20.76,1234,40.41,185,6.06,63,2.06,30,0.98
wakasagihime,4249,1533,36.08,1360,32.01,101,2.38,232,5.46,19,0.45
toramaru_shou,7872,1708,21.7,1795,22.8,213,2.71,351,4.46,31,0.39
star_sapphire,3256,740,22.73,1344,41.28,259,7.95,60,1.84,37,1.14
seiran_(touhou),2139,790,36.93,795,37.17,66,3.09,78,3.65,7,0.33
kurodani_yamame,6217,2302,37.03,1410,22.68,279,4.49,182,2.93,71,1.14
joutouguu_mayumi,1472,500,33.97,752,51.09,44,2.99,73,4.96,5,0.34
kasodani_kyouko,6187,2144,34.65,2277,36.8,250,4.04,105,1.7,36,0.58
sunny_milk,2979,531,17.82,1234,41.42,156,5.24,62,2.08,31,1.04
teireida_mai,1479,184,12.44,649,43.88,33,2.23,74,5.0,3,0.2
merlin_prismriver,2561,500,19.52,902,35.22,157,6.13,69,2.69,8,0.31
hourai_doll,1325,294,22.19,429,32.38,9,0.68,38,2.87,5,0.38
shanghai_doll,9083,2828,31.14,2707,29.8,112,1.23,367,4.04,46,0.51
miyadeguchi_mizuchi,218,115,52.75,175,80.28,2,0.92,3,1.38,0,0.0
watatsuki_no_toyohime,1204,317,26.33,329,27.33,44,3.65,51,4.24,8,0.66
mugetsu_(touhou),507,158,31.16,251,49.51,6,1.18,11,2.17,3,0.59
fortune_teller_(touhou),108,16,14.81,43,39.81,0,0.0,1,0.93,0,0.0
eternity_larva,1815,927,51.07,844,46.5,40,2.2,53,2.92,5,0.28
kumoi_ichirin,6113,691,11.3,1452,23.75,109,1.78,246,4.02,24,0.39
goutokuji_mike,950,484,50.95,646,68.0,7,0.74,12,1.26,1,0.11
lyrica_prismriver,2502,380,15.19,967,38.65,80,3.2,70,2.8,10,0.4
satsuki_rin,306,149,48.69,166,54.25,3,0.98,3,0.98,1,0.33
tsukumo_benben,1554,524,33.72,549,35.33,47,3.02,62,3.99,11,0.71
tokiko_(touhou),1404,566,40.31,617,43.95,38,2.71,18,1.28,5,0.36
nishida_satono,1509,245,16.24,635,42.08,43,2.85,70,4.64,7,0.46
kana_anaberal,499,261,52.3,306,61.32,8,1.6,5,1.0,0,0.0
ringo_(touhou),1825,518,28.38,541,29.64,60,3.29,69,3.78,2,0.11
sariel_(touhou),458,153,33.41,349,76.2,11,2.4,4,0.87,1,0.22
yatadera_narumi,824,334,40.53,378,45.87,35,4.25,20,2.43,4,0.49
yumeko_(touhou),856,232,27.1,362,42.29,10,1.17,23,2.69,3,0.35
tsukumo_yatsuhashi,1118,223,19.95,421,37.66,38,3.4,59,5.28,8,0.72
yamashiro_takane,554,269,48.56,356,64.26,39,7.04,9,1.62,2,0.36
mitsugashira_enoko,351,172,49.0,255,72.65,6,1.71,2,0.57,0,0.0
son_biten,414,219,52.9,283,68.36,4,0.97,4,0.97,0,0.0
ebisu_eika,461,211,45.77,254,55.1,7,1.52,11,2.39,3,0.65
meira_(touhou),385,90,23.38,245,63.64,4,1.04,24,6.23,1,0.26
tamatsukuri_misumaru,339,141,41.59,221,65.19,5,1.47,14,4.13,0,0.0
elly_(touhou),635,217,34.17,257,40.47,20,3.15,23,3.62,6,0.94
kitashirakawa_chiyuri,690,151,21.88,327,47.39,5,0.72,10,1.45,1,0.14
kurumi_(touhou),426,142,33.33,210,49.3,11,2.58,6,1.41,4,0.94
mai_(touhou),539,130,24.12,278,51.58,7,1.3,12,2.23,4,0.74
konpaku_youki,802,53,6.61,288,35.91,2,0.25,9,1.12,0,0.0
ellen_(touhou),463,125,27.0,324,69.98,2,0.43,4,0.86,0,0.0
anxious_moustached_villager_(touhou),11,0,0.0,7,63.64,0,0.0,0,0.0,0,0.0
ushizaki_urumi,904,422,46.68,250,27.65,75,8.3,17,1.88,7,0.77
sakata_nemuno,706,379,53.68,208,29.46,33,4.67,8,1.13,5,0.71
kotohime_(touhou),316,100,31.65,203,64.24,2,0.63,2,0.63,0,0.0
konngara_(touhou),540,123,22.78,330,61.11,4,0.74,2,0.37,0,0.0
yuki_(touhou),455,66,14.51,236,51.87,11,2.42,11,2.42,5,1.1
elis_(touhou),326,130,39.88,228,69.94,5,1.53,3,0.92,0,0.0
unzan,2723,150,5.51,677,24.86,16,0.59,40,1.47,8,0.29
kedama_(touhou),383,149,38.9,180,47.0,1,0.26,4,1.04,0,0.0
layla_prismriver,177,21,11.86,51,28.81,1,0.56,2,1.13,1,0.56
rika_(touhou),298,63,21.14,177,59.4,2,0.67,2,0.67,2,0.67
ruukoto,170,36,21.18,109,64.12,3,1.76,2,1.18,0,0.0
yuugenmagan,173,34,19.65,130,75.14,3,1.73,1,0.58,0,0.0
genjii_(touhou),227,18,7.93,180,79.3,0,0.0,1,0.44,0,0.0
asakura_rikako,321,80,24.92,211,65.73,3,0.93,6,1.87,0,0.0
louise_(touhou),330,85,25.76,175,53.03,2,0.61,2,0.61,1,0.3
fairy_maid_(touhou),465,27,5.81,149,32.04,2,0.43,25,5.38,2,0.43
sunflower_fairy_(touhou),90,17,18.89,59,65.56,0,0.0,2,2.22,0,0.0
zombie_fairy_(touhou),431,30,6.96,113,26.22,4,0.93,5,1.16,4,0.93
hisou_tensoku,182,29,15.93,78,42.86,0,0.0,6,3.3,0,0.0
orange_(touhou),207,53,25.6,129,62.32,8,3.86,1,0.48,7,3.38
mimi-chan,209,51,24.4,119,56.94,0,0.0,2,0.96,0,0.0
sara_(touhou),292,64,21.92,158,54.11,3,1.03,5,1.71,0,0.0
kikuri_(touhou),226,51,22.57,165,73.01,1,0.44,1,0.44,0,0.0
